Supplier,VAT Exclusive,VAT,Zimasa VAT Inclusive,Date
Avis Rent A Car - Sandton Gautrain Santon (Asg),,1541.74,11820.0,2023-10-01
Boga Legaba Guest House (Blg),,169.57,1300.0,2023-10-01
Bokamoso Farm Stay (Bfs),,2337.39,17920.0,2023-10-01
Border Post Hotel (Bph),,176.09,1350.0,2023-10-01
Cashan Bnb (Cbb),,2713.04,20800.0,2023-10-01
City Lodge Hotel,,1081.3,8290.0,2023-10-01
City Lodge Hotel,,4248.92,32575.0,2023-10-01
City Lodge Hotel,,420.0,3220.0,2023-10-01
Coastlands Umhlanga Hotel & Convention Centre (Cuh),,2660.87,20400.0,2023-10-01
Delectus Manor (Dlm),,672.65,5157.01,2023-10-01
Dithabeng View Guest House (Dvg),,2034.78,15600.0,2023-10-01
Elrose Guest House (Elr),,593.48,4550.0,2023-10-01
Fly Safair (640),,1452.68,11147.22,2023-10-01
Foundation Stones Mahikeng (Fsm),,720.0,5520.0,2023-10-01
Garden Court,,669.13,5130.0,2023-10-01
Garden Court,,1119.13,8580.0,2023-10-01
Green Side Accomodation (Gs),,1126.95,8640.0,2023-10-01
Gromans Rest Guesthouse (Rrg),,900.0,6900.0,2023-10-01
Hertz King Shaka Durban (Hks),,832.83,6385.0,2023-10-01
Hertz Rent A Car  Mahikeng Mahikeng (Hrm),,430.43,3300.0,2023-10-01
"Indaba Hotel, Spa And Conference Centre (Ind)",,210.12,1610.95,2023-10-01
Intercape Cape Town,,75232.02,576778.77,2023-10-01
Ithuteng Learning Academy (Ila),,6613.04,50700.0,2023-10-01
K&B Guesthouse (Kng),,860.87,6600.0,2023-10-01
K3B Guesthouse (Kbg),,1408.7,10800.0,2023-10-01
Kassaboera Lodge (Kl),,3730.43,28600.0,2023-10-01
Kenzo Guest House (Kgh),,945.65,7250.0,2023-10-01
Kings Gate Hotel (Knd),,881.74,6760.0,2023-10-01
Kriel Bed & Breakfast (Krl),,163.04,1250.0,2023-10-01
Lala @ Night Guesthouse (Lng),,2582.61,19800.0,2023-10-01
Lily Park Lodge (Lpl),,365.22,2800.0,2023-10-01
Limbali Cottages (Lbc),,1695.68,13000.0,2023-10-01
Mahikeng Hotel School (Mhs),,225.0,1725.0,2023-10-01
Maropeng Boutique Hotel (Mbt),,232.83,1785.0,2023-10-01
Masego Guest House (Mgh),,4747.83,36400.0,2023-10-01
Mercure Johannesburg Randburg Hotel (Mrh),,1959.65,15024.0,2023-10-01
Modisa Lodge (Mtl),,882.0,6762.0,2023-10-01
Mon-Aé Guest House Klerksdorp (Mgk),,873.91,6700.0,2023-10-01
Mosate Lodge - Polokwane (Msl),,391.3,3000.0,2023-10-01
Nayang Lorato Guest House And Catering (Nlg),,176.09,1350.0,2023-10-01
Nwu Sports Village (Sv),,662.6,5080.0,2023-10-01
Peermont Metcourt Hotel (Pmh),,420.0,3220.0,2023-10-01
Protea By Marriott,,461.74,3540.0,2023-10-01
Protea By Marriott,,887.93,6807.5,2023-10-01
Protea By Marriott,,2819.27,28694.35,2023-10-01
Protea By Marriott,,197.59,1514.85,2023-10-01
Protea Hotel By Marriot Klerksdorp (Pkk),,1520.62,11658.05,2023-10-01
Ratlou Guest House (Ruh),,195.65,1500.0,2023-10-01
Road Lodge Pietermaritzburg (Rdz),,0.0,0.0,2023-10-01
Road Lodge Potchefstoom (Rdp),,168.26,1290.0,2023-10-01
Royal Palm Hotel (Rph),,1612.43,12362.0,2023-10-01
S A Airways (083),,3594.95,28424.57,2023-10-01
Seasons Conference And Weddings (Scw),,16121.74,123600.0,2023-10-01
Seasons Leisure Golf Spa (Slg),,419.9,3219.2,2023-10-01
Seokobale Guesthouse (Skg),,1408.7,10800.0,2023-10-01
Setlhare Guest Lodge (Stl),,112.17,860.0,2023-10-01
